Week,Day,Lecture,Literature,Slides,Exercises
Week,Day,Lecture,Literature,Slides,Exercises
36,Monday31/8,First TA sessions,,,Basic math test Blackboard registration of TA class and handin group (if known) Subscribe to discussion board forums [B] Problems 1.1-1.7
36,Tuesday1/9,Introduction to Algorithms and Data Structures  10.15-11.00 IT+Hold 2+DV+DA4 11.15-12.00 DA1+DA5+DA6+DA7 12.15-13.00 DA2+DA3+DA8,[B] Section 1.1,intro.pdf,
36,Friday4/9,"Sorting with swaps, selection sort",[B] Section 1.2-1.3,puzzle.pdf,"[B] Exercises 1.1, 1.2, 1.3, 1.4, 1.5, 1.6"
37,Tuesday8/9,"Binary and linear search, longest common subsequence, Erdös & Szekeres Theorem, logarithms",[B] Section 1.4-1.7,binarysearch.pdf,"[B] Exercises 1.7, 1.8, Problems 1.9, 1.10 Handin 1: [B] Problem 1.8 (searching infinte list)"
37,Friday11/9,"Integer arithmetic: Binary and decimal numbers, addition, subtraction, multiplication, division",[B] Section 1.8,numbers.pdf,"[B] Exercises 1.9, 1.10, 1.11, 1.12"
38,Tuesday15/9,"Induction, invariants",[B] Section 1.9-1.10,induction.pdf,"[B] Exercises 1.13, 1.14, 1.15, 1.16, 1.18 Handin 2: [B] Exercise 1.19 (squared)"
38,Friday18/9,"Meeting with TA class representatives in Nygaard 395, 11:15-12:00 (Tentative reservation) Analysis tools, RAM model, insertion sort, O-notation",[CLRS] Ch. 1-3.1,ram.pdf,"[CLRS] Exercises 1.2-2, 1.2-3, 3.1-1, 3.1-4, Problems 1-1, 3-3 (ignore functions involving lg*), 3-4(a-e)"
39,Tuesday22/9,"Mergesort, heapsort, priority queues Introduction to programming exercises","[CLRS] Ch. 2.3, 6",heaps.pdf code.pdf,"[CLRS] Exercises 6.1-4, 6.1-5, 6.1-6, 6.3-2, Problems 2-1, (2-4), 6-1 Handin 3: [CLRS] Problem 6-2 (d-ary heap) 
      Programming Exercises IDue Monday 5/10, 23:59."
39,Friday25/9,"Quicksort, median, randomized selection","[CLRS] Ch. 7, 9.1-9.2",quicksort.pdf,"[CLRS] Exercises 7.1-2, 7.2-3, 7.3-2, Problem 9-1"
40,Tuesday29/9,"Lower bound for comparison based sorting, counting sort, radix sort, bucket sort",[CLRS] Ch. 8,sorting.pdf,"[CLRS] Exercises 8.1-1, 8.1-3, 8.2-4, 8.3-4"
